"Skill_Type","Skill","Site","N_Records","Pct_Postings"
"Software/Language Skill","Sql","SimplyHired",2056,53.7
"General Skill","Analysis","SimplyHired",2668,69.68
"General Skill","Data engineering","SimplyHired",276,7.21
"Software/Language Skill","Mysql","SimplyHired",187,4.88
"General Skill","Communication","SimplyHired",1791,46.77
"Software/Language Skill","Hbase","SimplyHired",167,4.36
"Software/Language Skill","Tensorflow","SimplyHired",501,13.08
"Software/Language Skill","Docker","SimplyHired",148,3.87
"Software/Language Skill","Scala","SimplyHired",589,15.38
"Software/Language Skill","Aws","SimplyHired",607,15.85
"Software/Language Skill","Mongodb","SimplyHired",165,4.31
"Software/Language Skill","Sas","SimplyHired",910,23.77
"Software/Language Skill","D3","SimplyHired",113,2.95
"General Skill","Deep learning","SimplyHired",675,17.63
"Software/Language Skill","R","SimplyHired",2393,62.5
"General Skill","Computer science","SimplyHired",2093,54.66
"Software/Language Skill","Excel","SimplyHired",438,11.44
"Software/Language Skill","C","SimplyHired",384,10.03
"Software/Language Skill","Spark","SimplyHired",1167,30.48
"General Skill","Software development","SimplyHired",481,12.56
"Software/Language Skill","Nosql","SimplyHired",387,10.11
"General Skill","Ai composite","SimplyHired",811,21.18
"Software/Language Skill","Hive","SimplyHired",637,16.64
"Software/Language Skill","Keras","SimplyHired",205,5.35
"Software/Language Skill","Pandas","SimplyHired",282,7.36
"Software/Language Skill","Pytorch","SimplyHired",131,3.42
"Software/Language Skill","C#","SimplyHired",182,4.75
"Software/Language Skill","C++","SimplyHired",580,15.15
"Software/Language Skill","Azure","SimplyHired",285,7.44
"General Skill","Visualization","SimplyHired",1153,30.11
"Software/Language Skill","Cassandra","SimplyHired",146,3.81
"General Skill","Machine learning","SimplyHired",2561,66.88
"Software/Language Skill","Hadoop","SimplyHired",1164,30.4
"General Skill","Project management","SimplyHired",330,8.62
"Software/Language Skill","Caffe","SimplyHired",113,2.95
"General Skill","Software engineering","SimplyHired",250,6.53
"Software/Language Skill","Spss","SimplyHired",273,7.13
"Software/Language Skill","Matlab","SimplyHired",544,14.21
"Software/Language Skill","Python","SimplyHired",2888,75.42
"Software/Language Skill","Numpy","SimplyHired",232,6.06
"Software/Language Skill","Git","SimplyHired",186,4.86
"Software/Language Skill","Linux","SimplyHired",364,9.51
"General Skill","Statistics","SimplyHired",2308,60.28
"General Skill","Nlp composite","SimplyHired",660,17.24
"General Skill","Neural networks","SimplyHired",421,11
"Software/Language Skill","Perl","SimplyHired",202,5.28
"Software/Language Skill","Java","SimplyHired",1059,27.66
"General Skill","Mathematics","SimplyHired",1497,39.1
"Software/Language Skill","Tableau","SimplyHired",780,20.37
"Software/Language Skill","Pig","SimplyHired",231,6.03
"Software/Language Skill","Javascript","Monster",224,5.98
"Software/Language Skill","Scikit-learn","Monster",212,5.66
"Software/Language Skill","Sql","Monster",1841,49.15
"General Skill","Analysis","Monster",3306,88.25
"General Skill","Data engineering","Monster",200,5.34
"Software/Language Skill","Mysql","Monster",121,3.23
"General Skill","Communication","Monster",2053,54.81
"Software/Language Skill","Hbase","Monster",138,3.68
"Software/Language Skill","Tensorflow","Monster",385,10.28
"Software/Language Skill","Docker","Monster",194,5.18
"Software/Language Skill","Scala","Monster",520,13.88
"Software/Language Skill","Aws","Monster",467,12.47
"Software/Language Skill","Mongodb","Monster",116,3.1
"Software/Language Skill","Sas","Monster",978,26.11
"Software/Language Skill","D3","Monster",95,2.54
"General Skill","Deep learning","Monster",606,16.18
"Software/Language Skill","R","Monster",2365,63.13
"General Skill","Computer science","Monster",1900,50.72
"Software/Language Skill","Excel","Monster",397,10.6
"Software/Language Skill","C","Monster",523,13.96
"Software/Language Skill","Spark","Monster",1062,28.35
"General Skill","Software development","Monster",784,20.93
"Software/Language Skill","Nosql","Monster",362,9.66
"General Skill","Ai composite","Monster",687,18.34
"Software/Language Skill","Hive","Monster",619,16.52
"Software/Language Skill","Keras","Monster",131,3.5
"Software/Language Skill","Pandas","Monster",175,4.67
"Software/Language Skill","Pytorch","Monster",98,2.62
"Software/Language Skill","C#","Monster",219,5.85
"Software/Language Skill","C++","Monster",439,11.72
"Software/Language Skill","Azure","Monster",272,7.26
"General Skill","Visualization","Monster",1207,32.22
"Software/Language Skill","Cassandra","Monster",136,3.63
"General Skill","Machine learning","Monster",2340,62.47
"Software/Language Skill","Hadoop","Monster",1200,32.03
"General Skill","Project management","Monster",348,9.29
"Software/Language Skill","Caffe","Monster",96,2.56
"General Skill","Software engineering","Monster",512,13.67
"Software/Language Skill","Spss","Monster",202,5.39
"Software/Language Skill","Matlab","Monster",419,11.19
"Software/Language Skill","Python","Monster",2544,67.91
"Software/Language Skill","Numpy","Monster",152,4.06
"Software/Language Skill","Git","Monster",145,3.87
"Software/Language Skill","Linux","Monster",303,8.09
"General Skill","Statistics","Monster",2399,64.04
"General Skill","Nlp composite","Monster",582,15.54
"General Skill","Neural networks","Monster",305,8.14
"Software/Language Skill","Perl","Monster",198,5.29
"Software/Language Skill","Java","Monster",1002,26.75
"General Skill","Mathematics","Monster",1815,48.45
"Software/Language Skill","Tableau","Monster",744,19.86
"Software/Language Skill","Pig","Monster",256,6.83
